#=================================================================,,,
# Freeform,,,
# Report suite: 00 Warner Music Group Global,,,
"# Date: Jun 25, 2023 - Jun 23, 2024",,,
# Segments: Fred Again Tour Interest,,,
#=================================================================,,,
,,,
,,,
##############################################,,,
# Freeform table,,,
##############################################,,,
,,Visits,Unique Visitors
Countries,,379216,312947
United States,,328520,271297
United States,US DMA,64352,55444
United States,Chicago (602),30341,25894
United States,Atlanta (524),10723,9793
United States,Dallas-Ft. Worth (623),6243,5571
United States,Seattle-Tacoma (819),6112,5250
United States,Denver (751),5778,5059
United States,Minneapolis-St. Paul (613),1484,1313
United States,Detroit (505),1383,1206
United States,Salt Lake City (770),1214,1058
United States,Albany-Schenectady-Troy (532),382,338
United States,Buffalo (514),381,342
United States,New Orleans (622),311,258
Canada,,44555,36637
Canada,Cities,44555,36637
Canada,"Toronto (Ontario, Canada)",13262,11185
Canada,"Vancouver (British Columbia, Canada)",7425,6229
Canada,"Montreal (Quebec, Canada)",3332,2958
Canada,"Calgary (Alberta, Canada)",2500,2161
Canada,"Edmonton (Alberta, Canada)",1064,939
Mexico,,6141,5327
Mexico,Cities,6141,5327
Mexico,"Mexico City (Ciudad De Mexico, Mexico)",2882,2566
Mexico,"Tijuana (Baja California, Mexico)",340,276
Mexico,"Cancun (Quintana Roo, Mexico)",298,257
Mexico,"Juarez (Chihuahua, Mexico)",186,167
Mexico,"Monterrey (Nuevo Leon, Mexico)",126,113