TERRITORY,COUNTRY_CODE,TOTAL_LISTENERS,SUPER_LISTENERS,SUPER_LISTENER_PCT
Playa Azul,MX,1,0,0
Summerstown,CA,1,0,0
Pijijiapan,MX,1,0,0
La Merced,MX,1,0,0
Aberdeen,CA,1,0,0
Pobre,MX,1,0,0
Baja California,MX,1,0,0
JalostotitlÃ¡n,MX,1,0,0
Oxford House,CA,1,0,0
La Esperanza,MX,1,0,0
Balmoral,CA,1,0,0
Allende,MX,1,0,0
Eastern Passage,CA,1,0,0
Tatamagouche,CA,1,0,0
Somerville,CA,1,0,0
Port Robinson,CA,1,0,0
Villa de Allende,MX,1,0,0
Huatusco de Chicuellar,MX,1,0,0
Lakeside,CA,1,0,0
Procter,CA,1,0,0
Curve Lake,CA,1,0,0
Flatrock,CA,1,0,0
Lillooet,CA,1,0,0
Salto de Agua,MX,1,0,0
Santa Clara,MX,1,0,0
Virreyes Vallarta,MX,1,0,0
Buffalo Point,CA,1,0,0
Sihochac,MX,1,0,0
Santiago Yeche,MX,1,0,0
Duguayville,CA,1,0,0
Goulds,CA,1,0,0
Appin,CA,1,0,0
Vavenby,CA,1,0,0
Xicotencatl,MX,1,0,0
Plamondon,CA,1,0,0
Sutton West,CA,1,0,0
Moffat,CA,1,0,0
Meadow Lake,CA,1,0,0
Heidelberg,CA,1,0,0
Plateros,MX,1,0,0
Moose Factory,CA,1,0,0
Stanstead,CA,1,0,0
JagÃ¼ey Blanco,MX,1,0,0
ZitÃ¡cuaro,MX,1,0,0
Ãlamos,MX,1,0,0
Washago,CA,1,0,0
Bamfield,CA,1,0,0
Santiago Chimalpa,MX,1,0,0
Saint-Jean-Port-Joli,CA,1,0,0
San JosÃ© de Gracia,MX,1,0,0
Saint-Paul-de-Montminy,CA,1,0,0
Taretan,MX,1,0,0
Mochicahui,MX,1,0,0
San Juan Tilcuautla,MX,1,0,0
El cercado,MX,1,1,100
PÃ©njamo,MX,1,0,0
Kensington,CA,1,0,0
LÃ¡zaro CÃ¡rdenas,MX,1,0,0
Burin,CA,1,0,0
Ciudad Benito JuÃ¡rez,MX,1,0,0
Fort Qu'Appelle,CA,1,0,0
Pennfield,CA,1,0,0
Holland Landing,CA,1,0,0
Assiniboia,CA,1,1,100
Sinaloa,MX,1,0,0
Puerto Escondido,MX,1,0,0
Viacrucis,MX,1,0,0
AcÃ¡mbaro,MX,1,0,0
Oxchuc,MX,1,0,0
ResurrecciÃ³n,MX,1,0,0
Saint-Edmond-de-Grantham,CA,1,1,100
Belcourt,CA,1,0,0
Roxton Falls,CA,1,1,100
Westport,CA,1,0,0
Jiquilpan de JuÃ¡rez,MX,1,0,0
Campbellville,CA,1,0,0
AcatlÃ¡n de Osorio,MX,1,0,0
Calvillo,MX,1,0,0
Telkwa,CA,1,0,0
Les Escoumins,CA,1,0,0
Zona Urbana Ejidal,MX,1,0,0
Crossfield,CA,1,1,100
Guadalupe Tlachco,MX,1,0,0
Huimango,MX,1,0,0
Catalina,CA,1,0,0
Rocky View County,CA,1,0,0
Zacatipa,MX,1,0,0
Tecoman,MX,1,0,0
Villa del CarbÃ³n,MX,1,1,100
Heroica Ciudad de Cananea,MX,1,0,0
Severn Bridge,CA,1,0,0
Killarney,CA,1,0,0
Fenelon Falls,CA,1,0,0
Campos,MX,1,0,0
ApatzingÃ¡n de la ConstituciÃ³n,MX,1,0,0
Cupids,CA,1,0,0
St. Lawrence,CA,1,0,0
Santos Degollado 1ra. SecciÃ³n,MX,1,0,0
Papalotla,MX,1,0,0
Williamstown,CA,1,0,0
Melita,CA,1,0,0
Waterdown,CA,1,0,0
Thornloe,CA,1,0,0
Port Stanley,CA,1,0,0
La Orilla,MX,1,0,0
Monte HermÃ³n,MX,1,0,0
Primera de San Miguel,MX,1,0,0
Langton,CA,1,0,0
Hampstead,CA,1,0,0
Esperanza,MX,1,0,0
Grand Valley,CA,1,0,0
Nextipac,MX,1,0,0
Piedmont,CA,1,0,0
Los Azahares,MX,1,0,0
Liverpool,CA,1,0,0
Tlayoatla Joya de RodrÃ­guez,MX,1,0,0
Los Pericos,MX,1,0,0
Saint-Damien,CA,1,0,0
Bewdley,CA,1,0,0
Shortts Lake,CA,1,0,0
Hastings,CA,1,0,0
Analco,MX,1,0,0
St. Clements,CA,1,0,0
Cumberland Beach,CA,1,0,0
Mesa de Arturo,MX,1,1,100
Harrow,CA,1,0,0
Xochimilco,MX,1,0,0
Grand Bend,CA,1,0,0
Chiautla de Tapia,MX,1,0,0
Villas de la Hacienda 2a. SecciÃ³n,MX,1,0,0
La Gloria,MX,1,0,0
VisitaciÃ³n,MX,1,0,0
Rancho Seco,MX,1,0,0
Nobleton,CA,1,0,0
Massey,CA,1,0,0
La Salle,CA,1,0,0
Cache Creek,CA,1,0,0
Currys Corner,CA,1,0,0
Bethel,CA,1,0,0
Mistissini,CA,1,0,0
Grandes-Piles,CA,1,0,0
Logy Bay,CA,1,0,0
Willow River,CA,1,0,0
Verona,CA,1,0,0
San Andres Huayapam,MX,1,0,0
Moosomin,CA,1,0,0
ALPENA,US,1,1,100
Viejo IxtacomitÃ¡n,MX,1,0,0
Portal del Norte,MX,1,1,100
Santo Santiago,MX,1,0,0
Zapotiltic,MX,1,0,0
Deschaillons-sur-Saint-Laurent,CA,1,0,0
DongÃº Puerto,MX,1,0,0
Grassland,CA,1,0,0
Ahome,MX,1,0,0
Sparwood,CA,1,0,0
St. Albans,CA,1,0,0
Cansahcab,MX,1,0,0
Santa Cruz Del Valle,MX,1,0,0
Valleyview,CA,1,1,100
Perth Road,CA,1,0,0
Togiak,US,1,0,0
Texcatzongo,MX,1,0,0
Texas,MX,1,0,0
Magrath,CA,1,0,0
Bayfield,CA,1,0,0
Sendero de los Pinos,MX,1,1,100
Santa Cruz el Tejocote,MX,1,0,0
Las Brisas,MX,1,0,0
Montreal Lake,CA,1,0,0
Charny,CA,1,0,0
Camino Real,MX,1,0,0
Villas de Santa MÃ³nica,MX,1,0,0
Hatchet Lake,CA,1,0,0
Hartington,CA,1,0,0
Baca,MX,1,0,0
Huatusco,MX,1,0,0
San Miguel Xoxtla,MX,1,0,0
Villas Oriente,MX,1,0,0
Banderilla,MX,1,0,0
San JosÃ© Bellavista de Victoria,MX,1,0,0
Parkhill,CA,1,0,0
Boca del RÃ­o,MX,1,0,0
Burns Lake,CA,1,0,0
Victoria Harbour,CA,1,0,0
Saint-Roch-de-l'Achigan,CA,1,0,0
Portland,CA,1,0,0
Homun,MX,1,0,0
Santa Ana Xalmimilulco,MX,1,0,0
Neebing,CA,1,0,0
Tacubaya,MX,1,1,100
Las Juntas,MX,1,0,0
Villagran,MX,1,0,0
Hannon,CA,1,0,0
San JosÃ© Pathe,MX,1,0,0
Pilot Butte,CA,1,0,0
Coscomatepec de Bravo,MX,1,0,0
Huejutla de Reyes,MX,1,0,0
Almoloya de JuÃ¡rez,MX,1,0,0
Chetwynd,CA,1,0,0
Montpellier,CA,1,0,0
San JosÃ© del Cabo,MX,1,0,0
Grand Falls,CA,1,0,0
Xicotepec,MX,1,1,100
McMasterville,CA,1,0,0
Cadereyta JimÃ©nez,MX,1,0,0
Ocuituco,MX,1,0,0
Little Current,CA,1,0,0
Gorrie,CA,1,0,0
Lac-Kenogami,CA,1,0,0
Bonfield,CA,1,0,0
Rossland,CA,1,0,0
Hearst,CA,1,0,0
Pincher Creek,CA,1,0,0
Valle de Ignacio Allende Centro,MX,1,0,0
Escuinapa de Hidalgo,MX,1,0,0
Estado de MÃ©xico,MX,1,1,100
Primero de Mayo,MX,1,0,0
Valle de Cumbres,MX,1,0,0
Senneville,CA,1,0,0
Glovertown,CA,1,0,0
Deer Valley,CA,1,0,0
Chavinda,MX,1,0,0
Sainte-AdÃ¨le,CA,1,1,100
Casa Rio,CA,1,0,0
Campbellcroft,CA,1,1,100
Chatsworth,CA,1,0,0
Pacho Viejo,MX,1,0,0
San Pedro Totoltepec,MX,1,0,0
Monkton,CA,1,0,0
Supermanzana 299,MX,1,0,0
Rusagonis,CA,1,0,0
Aculco,MX,1,0,0
Coleman,CA,1,1,100
Les CÃ¨dres,CA,1,0,0
General Miguel AlemÃ¡n (Potrero Nuevo),MX,1,0,0
Forest,CA,1,0,0
Centreville,CA,1,1,100
SeÃ±orio San AgustÃ­n,MX,1,0,0
Alberta Beach,CA,1,0,0
Gral. Zuazua,MX,1,0,0
Innerkip,CA,1,0,0
Palgrave,CA,1,0,0
Kejick,CA,1,0,0
Little Britain,CA,1,0,0
Tancitaro,MX,1,0,0
ViÃ±edos RÃ­os,MX,1,0,0
Frankford,CA,1,1,100
Tobermory,CA,1,0,0
Beaverton,CA,1,0,0
ZR,MX,1,1,100
Tixmehuac,MX,1,0,0
Palmer,CA,1,0,0
Rancho Santiago CÃ¡rdenas,MX,1,0,0
Bacalar,MX,1,0,0
Burritts Rapids,CA,1,0,0
Quadeville,CA,1,0,0
Parson,CA,1,0,0
Churchill Falls,CA,1,0,0
Santiago Mitlatongo,MX,1,0,0
Montmartre,CA,1,0,0
Caramat,CA,1,0,0
Annapolis Royal,CA,1,0,0
Santiago Jamiltepec,MX,1,0,0
San Isidro,MX,1,0,0
Cumberland,CA,1,0,0
McDougall,CA,1,0,0
Los Gavilanes,MX,1,0,0
Saint-Ã‰douard-de-LotbiniÃ¨re,CA,1,0,0
Corbeil,CA,1,0,0
Agassiz,CA,1,0,0
Villa Aldama,MX,1,0,0
Nipigon,CA,1,0,0
Cosamaloapan,MX,1,0,0
Floradale,CA,1,0,0
Petrolera Lindavista,MX,1,0,0
Villas Morelos I,MX,1,0,0
Wallenstein,CA,1,0,0
Sabinas,MX,1,1,100
ZacatlÃ¡n,MX,1,0,0
Cordova,US,1,0,0
Saint-Denis-sur-Richelieu,CA,1,0,0
Mazamitla,MX,1,0,0
Port-Cartier,CA,1,1,100
San Felipe Teotlalcingo,MX,1,0,0
San Miguel Octopan,MX,1,0,0
Heroica Ciudad de Huajuapan de LeÃ³n,MX,1,0,0
Huilango,MX,1,0,0
Las Manzanas,MX,1,0,0
Weymouth,CA,1,0,0
Marathon,CA,1,0,0
Tlalixtac de Cabrera,MX,1,0,0
San Luis,MX,1,0,0
San Gregorio,MX,1,0,0
Virden,CA,1,0,0
Memramcook,CA,1,0,0
San Miguel Contla,MX,1,0,0
Blenheim,CA,1,0,0
Southwold,CA,1,0,0
Beaver Bank,CA,1,0,0
Binbrook,CA,1,0,0
San NicolÃ¡s Tolentino,MX,1,0,0
Fairford,CA,1,0,0
Opaskwayak,CA,1,0,0
Mortlach,CA,1,0,0
Hartland,CA,1,0,0
Eckville,CA,1,0,0
San Dionisio Ocotepec,MX,1,0,0
Batawa,CA,1,0,0
Violetas,MX,1,0,0
Val-Morin,CA,1,0,0
La Ronge,CA,1,0,0
Santa Isabel,MX,1,0,0
Beiseker,CA,1,0,0
Xomitla,MX,1,1,100
Nonoalco,MX,1,0,0
Sainte-Brigitte-de-Laval,CA,1,0,0
San Mateo Almomoloa,MX,1,0,0
Ponoka,CA,1,0,0
Albanel,CA,1,0,0
Sexsmith,CA,1,1,100
Holstein,CA,1,0,0
Didsbury,CA,1,0,0
Buchans Junction,CA,1,0,0
Tlaxcoapan,MX,1,0,0
Coleville,CA,1,0,0
PuruÃ¡ndiro,MX,1,0,0
L'Ã‰piphanie,CA,1,0,0
El Terremoto,MX,1,1,100
Amherstview,CA,1,0,0
Souris,CA,1,0,0
Fairview,CA,1,0,0
San Ignacio III,MX,1,0,0
Tepeitic,MX,1,0,0
Saint-Mathieu-de-Laprairie,CA,1,0,0
Tecoh,MX,1,0,0
San Bartolo Teontepec,MX,1,0,0
Ohsweken,CA,1,0,0
St. George Brant,CA,1,0,0
Vicente Lombardo Toledano,MX,1,0,0
MoroleÃ³n,MX,1,0,0
Moser River,CA,1,1,100
Clearwater,CA,1,0,0
Progreso de ObregÃ³n Centro,MX,1,0,0
Villas de San Vicente,MX,1,0,0
Milltown,CA,1,0,0
Teporeachic,MX,1,0,0
Torbay,CA,1,0,0
Maple Creek,CA,1,0,0
Sainte-Martine,CA,1,0,0
TizimÃ­n,MX,1,1,100
Tecolotlan,MX,1,0,0
San Fernando,MX,1,0,0
Alix,CA,1,0,0
Burks Falls,CA,1,0,0
Ario de Rosales,MX,1,0,0
Huitel,MX,1,0,0
Corman Park,CA,1,0,0
RÃ­o Blanco,MX,1,0,0
Privadas del Cobre,MX,1,0,0
Saint-Nazaire-d'Acton,CA,1,0,0
Villa CuauhtÃ©moc,MX,1,0,0
Saint-Louis-du-Ha-Ha,CA,1,0,0
Charo,MX,1,0,0
Sainte-Sabine,CA,1,0,0
Noyan,CA,1,0,0
Tarimoro,MX,1,0,0
Villas de Conkal,MX,1,0,0
Jocotepec,MX,1,0,0
Embro,CA,1,0,0
Conkal,MX,1,0,0
Dubreuilville,CA,1,0,0
Temascalcingo de JosÃ© MarÃ­a Velazco,MX,1,0,0
Wynyard,CA,1,0,0
San Miguel Agua Bendita,MX,1,0,0
Shining Tree,CA,1,0,0
Long Sault,CA,1,0,0
Saucillo,MX,1,0,0
Alexander,CA,1,0,0
Temaxcalapa de Gabino Barreda,MX,1,0,0
Saint-Alban,CA,1,0,0
Heffley Creek,CA,1,0,0
Tixpehual,MX,1,0,0
Sharon,CA,1,0,0
Bancroft,CA,1,0,0
Kleinburg,CA,1,0,0
Deseronto,CA,1,0,0
Stephenville Crossing,CA,1,0,0
Santa Ana Ahuehuepan,MX,1,0,0
Huixtla,MX,1,0,0
Cross Lake,CA,1,0,0
Athens,CA,1,0,0
Huejuquilla el Alto,MX,1,0,0
Palmar,MX,1,0,0
Lefroy,CA,1,0,0
Kaslo,CA,1,0,0
Agua dulce,MX,1,0,0
Damascus,CA,1,0,0
Issoudun,CA,1,0,0
Tepetlaoxtoc de Hidalgo,MX,1,0,0
Jojutla,MX,1,0,0
Hueyapan,MX,1,0,0
Lundar,CA,1,0,0
Santiaguillo,MX,1,0,0
Phelpston,CA,1,0,0
Mashteuiatsh,CA,1,0,0
La Conchita,MX,1,0,0
Seeleys Bay,CA,1,0,0
Salisbury,CA,1,0,0
Xalpa,MX,1,0,0
Santa Ana TepetitlÃ¡n,MX,1,0,0
Sydney Mines,CA,1,1,100
San Gregorio Atzompa,MX,1,0,0
Hillier,CA,1,0,0
Cap-Saint-Ignace,CA,1,0,0
Wendake,CA,1,0,0
Komoka,CA,1,0,0
Los Pilares,MX,1,0,0
Isla,MX,1,0,0
Carmen,MX,1,0,0
Onoway,CA,1,0,0
North Sydney,CA,1,0,0
San Pedro Cuaxoxocatla,MX,1,0,0
San Miguel del Molino,MX,1,0,0
Inverary,CA,1,0,0
Saint-Jacques-le-Mineur,CA,1,0,0
Champlain,CA,1,0,0
Cerro Azul,MX,1,0,0
San CristÃ³bal de las Casas,MX,1,0,0
Callander,CA,1,0,0
Fraserville,CA,1,0,0
Pelly Crossing,CA,1,0,0
Alfredo V. Bonfil,MX,1,0,0
Tenancingo de Degollado,MX,1,0,0
San Luis Mextepec,MX,1,0,0
Sitio del Sol,MX,1,0,0
Sept-ÃŽles,CA,1,1,100
Norton,CA,1,0,0
Tamazolapa,MX,1,0,0
Obrera,MX,1,0,0
Rinconada,MX,1,0,0
Bella Coola,CA,1,0,0
Thorndale,CA,1,0,0
Escobedo,MX,1,0,0
Proton Station,CA,1,0,0
San JuliÃ¡n,MX,1,0,0
Brome,CA,1,0,0
Paseos de Chenku,MX,1,0,0
Atencingo,MX,1,0,0
Lemoyne,CA,1,0,0
Thurso,CA,1,0,0
Sainte-Justine,CA,1,0,0
Minto,CA,1,0,0
San Lorenzo Chiautzingo,MX,1,0,0
TepatitlÃ¡n de Morelos,MX,1,0,0
Villas Huracanes,MX,1,0,0
Wrigley,CA,1,0,0
Longue-Pointe-de-Mingan,CA,1,0,0
Los Coyotes,MX,1,0,0
Cuanajo,MX,1,0,0
Coxcatlan,MX,1,0,0
Arcelia,MX,1,0,0
La Bolita,MX,1,0,0
Ridgeway,CA,1,0,0
Redwood Meadows,CA,1,0,0
Salinas Victoria,MX,1,0,0
Bas-Caraquet,CA,1,0,0
Bridgetown,CA,1,0,0
Val-David,CA,1,1,100
La Aldea,MX,1,0,0
Dolores Hgo. Cuna de la Indep. Nal.,MX,1,0,0
Rosales,MX,1,0,0
Loretto,CA,1,0,0
Gagetown,CA,1,0,0
Alto Lucero,MX,1,0,0
Zona Urbana,MX,1,0,0
Calpulalpan,MX,1,0,0
Bermejillo,MX,1,0,0
Hermanos LeaÃ±os,MX,1,0,0
Acayuca,MX,1,0,0
Petersfield,CA,1,0,0
Stephenfield,CA,1,0,0
PÃ¡tzcuaro,MX,1,0,0
Villa Mercedes,MX,1,0,0
Sainte-Anne-de-la-PÃ©rade,CA,1,0,0
Tierra Colorada,MX,1,0,0
Tapalpa,MX,1,0,0
Frontera,MX,1,0,0
San Miguel Allende,MX,1,0,0
Mount Brydges,CA,1,1,100
Minesing,CA,1,0,0
Tepetlapa,MX,1,0,0
Mascota,MX,1,0,0
Parkland,CA,1,0,0
Tlapa de Comonfort,MX,1,0,0
Bellevue,CA,1,1,100
Petitcodiac,CA,1,0,0
Bowser,CA,1,0,0
San AndrÃ©s,MX,1,0,0
Windermere,CA,1,0,0
Mallorytown,CA,1,0,0
Zimapan,MX,1,0,0
Mapastepec,MX,1,0,0
Mildmay,CA,1,0,0
Saint-Samuel,CA,1,0,0
Fenwick,CA,1,0,0
Enilda,CA,1,0,0
Grand Manan,CA,1,0,0
Belle Ewart,CA,1,0,0
Headingley,CA,1,0,0
San Miguel Tenancingo,MX,1,0,0
ChampotÃ³n,MX,1,0,0
South Bruce Peninsula,CA,1,0,0
CuauhtÃ©moc,MX,1,0,0
Alfred,CA,1,0,0
Stillwater Lake,CA,1,0,0
Harbour Grace,CA,1,0,0
ViÃ±edos,MX,1,0,0
Pichucalco,MX,1,0,0
Dorchester,CA,1,0,0
El TecuÃ¡n,MX,1,0,0
Danville,CA,1,0,0
Troy,CA,1,1,100
Unidad Modelo,MX,1,0,0
Saint-Wenceslas,CA,1,0,0
Aguilera,MX,1,0,0
Camden,CA,1,0,0
Nopalucan de la Granja,MX,1,0,0
Valle del ParaÃ­so,MX,1,1,100
Linares,MX,1,1,100
Sor Juana InÃ©s de la Cruz,MX,1,0,0
San Miguel Xaltocan,MX,1,0,0
Lucan,CA,1,1,100
San Jose de Gracia,MX,1,0,0
Villas Santa Esther,MX,1,0,0
McLennan,CA,1,0,0
Alvarado,MX,1,1,100
Valle de Lerma,MX,1,0,0
Santa MarÃ­a Coronango,MX,1,0,0
Nuevo Leon,MX,1,0,0
Ilderton,CA,1,0,0
Teocelo,MX,1,0,0
LeÃ³n Bejarano,MX,1,0,0
Duffield,CA,1,1,100
Dundalk,CA,1,0,0
San AndrÃ©s Tuxtla,MX,1,0,0
Louiseville,CA,1,0,0
Loma Linda,MX,1,0,0
Cap-aux-Meules,CA,1,0,0
Sebringville,CA,1,0,0
Saint-Anselme,CA,1,0,0
Valenzuela Hermanos,MX,1,0,0
Domingo Arenas,MX,1,0,0
Saint-Armand,CA,1,0,0
El Centenario,MX,1,0,0
Vistas del Sol,MX,1,0,0
Ciudad Mendoza Centro,MX,1,0,0
Santiago Niltepec,MX,1,0,0
Gillam,CA,1,0,0
Gabriel Leyva Solano,MX,1,0,0
Tepeapulco,MX,1,0,0
Apaxco de Ocampo,MX,1,0,0
Kettleby,CA,1,0,0
Santa BÃ¡rbara,MX,1,0,0
Birch Island,CA,1,0,0
Villas SantÃ­n,MX,1,0,0
Villa de Reyes,MX,1,0,0
Ocosingo,MX,1,0,0
Santiago Tlacochcalco,MX,1,0,0
Tecomalucan,MX,1,0,0
Scandia,CA,1,0,0
Xico,MX,1,0,0
Southampton,CA,1,0,0
Yarker,CA,1,0,0
Vulcan,CA,1,0,0
Munitepec de Madero,MX,1,0,0
Shawville,CA,1,0,0
Piedra Parada,MX,1,0,0
Tlacotepec de Benito JuÃ¡rez,MX,1,0,0
Ma-Me-O Beach,CA,1,0,0
Valle de Encinos,MX,1,0,0
Tlaxopa,MX,1,1,100
Vankleek Hill,CA,1,0,0
San Higinio,MX,1,0,0
San Pedro Buenavista,MX,1,0,0
Whitefish Falls,CA,1,0,0
San Francisco Totoltepec,MX,1,0,0
Castor,CA,1,0,0
ViÃ±a Antigua,MX,1,0,0
Kinburn,CA,1,0,0
Patzcuaro,MX,1,0,0
Prescott,CA,1,0,0
Villafuerte,MX,1,0,0
Watson Lake,CA,1,0,0
San Vicente de Melones,MX,1,0,0
Slocan,CA,1,1,100
Arellano,MX,1,0,0
New Dundee,CA,1,0,0
El Polvo,MX,1,0,0
Grand Mira South,CA,1,0,0
Haut-Sheila,CA,1,0,0
El Naranjo,MX,1,0,0
Madoc,CA,1,0,0
Stirling,CA,1,0,0
Plympton-Wyoming,CA,1,0,0
Chapulco,MX,1,0,0
Dunsford,CA,1,1,100
Perote,MX,1,0,0
Baie-Saint-Paul,CA,1,0,0
XiloxÃºchitl,MX,1,0,0
Alpuyeca,MX,1,0,0
Saint-FÃ©licien,CA,1,0,0
Nacajuca,MX,1,0,0
Emsdale,CA,1,0,0
Saint-Polycarpe,CA,1,0,0
Wasagamack,CA,1,0,0